,NUMBER,DATE,YEAR,MONTH,DAY,ORGAN,TEAM,KIND1,PLACE,KIND2,KEYWORD,PLACE_DETAIL,ROAD_MILESTONE,ROAD,MILESTONE,LATITUDE,LONGITUDE,CHANNEL,REASON
155,2024001576,2024-01-31 9:45,2024,1,31,순천지사, 도로안전팀,손해배상,순천IC(3.81),차량피해,고라니 사고 차량피해 보상 요청,남해선(3.8),    남해선(순천부산)3.8    ,남해선(순천부산),3.8,34.98715,127.5163,홈페이지(전자민원),시설환경
156,2024001548,2024-01-30 17:57,2024,1,30,광주지사, 도로안전팀,유지보수,동림IC(80.45),시설,중분대 설치 검토 및 자선규제봉 정비 요청,호남선(80.6),    호남선80.6    ,호남선,80.6,35.19267,126.859,안전신문고,시설환경
157,2024001529,2024-01-30 13:50,2024,1,30,순천지사, 도로안전팀,공사,광양IC(12.58),시설,공사중 표시 미흡,남해선(12.6),    남해선(순천부산)12.6    ,남해선(순천부산),12.6,34.97331,127.6035,안전신문고,시설환경
158,2024001455,2024-01-30 9:22,2024,1,30,광주지사, 도로안전팀,유지보수,공통,도로,페인트 자국 제거 요청,호남선(75.6),    호남선75.6    ,호남선,75.6,35.18359,126.9106,안전신문고,시설환경
159,2024001341,2024-01-26 13:31,2024,1,26,함평지사, 도로안전팀,유지보수,공통,시설,시선유도봉 보수 요청,서해안선(23.19),    서해안선23.1    ,서해안선,23.1,35.0039,126.4927,안전신문고,시설환경
160,2024001340,2024-01-26 13:30,2024,1,26,함평지사, 도로안전팀,유지보수,공통,시설,시선유도봉 보수 요청,서해안선(16.6),    서해안선16.6    ,서해안선,16.6,34.94654,126.505,안전신문고,시설환경
161,2024001339,2024-01-26 13:29,2024,1,26,함평지사, 도로안전팀,유지보수,공통,시설,시선유도봉 보수 요청,서해안선(17.98),    서해안선17.9    ,서해안선,17.9,34.95781,126.5016,안전신문고,시설환경
162,2024001314,2024-01-26 9:21,2024,1,26,순천지사, 도로안전팀,유지보수,진월영업소(91),도로,포트홀 보수 요청 및 가로등 설치 요청,남해선(28.6),    남해선(순천부산)28.6    ,남해선(순천부산),28.6,34.98017,127.748,국민신문고,시설환경
163,2024001255,2024-01-25 11:15,2024,1,25,구례지사, 교통안전팀,유지보수,공통,시설,터널 내부 화살표 색상 조치 요청,순천완주(13.8),    순천완주선13.8    ,순천완주선,13.8,35.05528,127.5005,국민신문고,시설환경
164,2024001224,2024-01-24 17:56,2024,1,24,광주지사, 도로안전팀,유지보수,이정입력,재난관리,제설차량 서행 주행 요청 및 소음으로 인한 차단벽 또는 차음벽 설치 요청,호남선(97.8),    호남선97.8    ,호남선,97.8,35.32195,126.796,안전신문고,업무처리
165,2024001186,2024-01-24 14:05,2024,1,24,광주지사, 도로안전팀,유지보수,공통,시설,가드레일 철거 요청,호남선(78.4),    호남선78.4    ,호남선,78.4,35.18532,126.8799,국민신문고,시설환경
166,2024001177,2024-01-24 13:36,2024,1,24,보성지사, 도로안전팀,유지보수,공통,도로,포트홀 보수 요청,남해선(38.3),    남해선(영암순천)38.3    ,남해선(영암순천),38.3,34.70838,126.9066,안전신문고,시설환경
167,2024001018,2024-01-23 9:58,2024,1,23,광주지사, 도로안전팀,유지보수,공통,도로,포트홀 보수 요청,광주대구선(17.7),    광주대구선17.7    ,광주대구선,17.7,35.32333,127.0204,안전신문고,시설환경
168,2024001016,2024-01-23 9:57,2024,1,23,광주지사, 도로안전팀,유지보수,동광주IC(74.21),시설,차선규제봉 보수 요청,호남선(74.2),    호남선74.2    ,호남선,74.2,35.18227,126.9253,안전신문고,시설환경
169,2024001015,2024-01-23 9:57,2024,1,23,광주지사, 도로안전팀,손해배상,동림IC(80.45),차량피해,도로파손 보수 요청,호남선(80.6),    호남선80.6    ,호남선,80.6,35.19267,126.859,안전신문고,시설환경
