NUMBER,DATE,YEAR,MONTH,DAY,ORGAN,TEAM,KIND1,PLACE,KIND2,KEYWORD,PLACE_DETAIL,ROAD_MILESTONE,ROAD,MILESTONE,LATITUDE,LONGITUDE,CHANNEL,REASON
2023021038,2023-11-15 17:23,2023,11,15,광주전남본부,고객팀,교통,,제한차량,-,,,,  ,,, 안전신문고 , 고객요인 
2023021036,2023-11-15 17:03,2023,11,15,광주지사,도로안전팀,유지보수,공통,도로,포트홀 보수요청,"용봉IC-동광주IC
(순천방향)",논산천안선/호남선77,논산천안선/호남선,77,35.18445778,126.8952407, 안전신문고 , 시설환경 
2023021028,2023-11-15 16:23,2023,11,15,구례지사,도로안전팀,기타,,기타,배수로 설계도면 및 시공자료 요청,순천완주선(36.3),순천완주선36.3,순천완주선,36.3,35.24135719,127.4314829, 정보공개(우편) , 기타요인 
2023021002,2023-11-15 13:35,2023,11,15,보성지사,교통안전팀,기타,이정입력,직원관련,칭찬(안전순찰원),보성지사,,,  ,,, 칭찬 , 직원요인 
2023020999,2023-11-15 13:26,2023,11,15,구례지사,고객지원팀,기타,공통,기타,제설기간제 채용과정 공정성,구례지사,,,  ,,, 국민신문고 , 규정 및 제도 
2023020956,2023-11-14 14:43,2023,11,14,구례지사,고객지원팀,기타,공통,직원관련,제설기간제 채용과정 공정성,구례지사,,,  ,,, 국민신문고 , 규정 및 제도 
2023020952,2023-11-14 14:25,2023,11,14,구례지사,고객지원팀,기타,오수(68.3),직원관련,칭찬(오수휴게소 주유소 직원),오수휴게소(완주),,,  ,,, 칭찬 , 직원요인 
2023020936,2023-11-14 8:48,2023,11,14,광주지사,도로안전팀,공사,공통,노선,"동광주 IC 진입램프 전 안전지대 
차선규제봉 설치요청",동광주 IC ,,,  ,,, 안전신문고 , 시설환경 
2023020871,2023-11-13 15:47,2023,11,13,함평지사,도로안전팀,유지보수,서광산IC(34.769),시설,충격흡수시설 보수 요청,서광산IC,무안광주선34.7,무안광주선,34.7,35.11809983,126.7319409, 안전신문고 , 시설환경 
2023020869,2023-11-13 15:31,2023,11,13,보성지사,도로안전팀,유지보수,공통,시설,차선규제봉 보수 요청,보성 IC 외 2개소,남해선(영암순천)61.2,남해선(영암순천),61.2,34.81394218,127.1071402, 안전신문고 , 시설환경 
2023020868,2023-11-13 15:30,2023,11,13,보성지사,도로안전팀,유지보수,공통,시설,차선규제봉 보수 요청,보성 IC 외 2개소,남해선(영암순천)61.2,남해선(영암순천),61.2,34.81394218,127.1071402, 안전신문고 , 시설환경 
2023020867,2023-11-13 15:30,2023,11,13,보성지사,도로안전팀,유지보수,공통,시설,차선규제봉 보수 요청,보성 IC 외 2개소,남해선(영암순천)61.2,남해선(영암순천),61.2,34.81394218,127.1071402, 안전신문고 , 시설환경 
